r,lnz_0,lnz_1,lnz_2,lnz_3,lnz_4,lnz_5,lnz_6,lnz_7,lnz_8,lnz_9,lnz_10,lnz_11,lnz_12,lnz_13,lnz_14,lnz_15,lnz_16,lnz_17,lnz_18,lnz_19,lnz_20,lnz_21,lnz_22,lnz_23,lnz_24,lnz_25,lnz_26,lnz_27,lnz_28,lnz_29
4145.306668504181,,296.3816122077763,303.48245011083156,281.71169837495694,,,,,,303.4552237335299,,,,,,297.706087322151,291.5120151819371,293.29271554721095,296.4615508273057,300.33967945513996,310.0216599258542,300.57054006076555,,,292.54166158435055,,,,275.5024178613495,298.1370913433831
4517.727154595472,300.5466796493289,,296.44436643995505,,,301.610037008619,,308.1570993808526,296.6487920382297,301.79821616274796,,264.243372005579,301.5017262981304,,308.8086429500611,302.9596798661864,,292.8253902488142,301.62142666693535,,307.77085939600556,,300.8229716035213,295.44088418372235,275.46697899879274,,,,,296.3639664215855
4923.606448334049,,293.96628824303434,,278.2689852743606,304.20478275989615,,,,300.164162911084,,,279.35910327414894,,,295.710547028455,284.29232432108677,,,,,297.5957611975149,293.95171317375537,302.43916176205863,300.90538249666156,287.04076206291745,299.64636669895253,305.4029998558718,299.93953078144375,290.90678679484995,294.8263354903197
5365.950538517482,301.0796537145277,295.95246562507475,298.40436532454834,285.43439017532097,,,299.6189225653493,303.1915172196777,302.8335754214263,,301.0278663208913,279.05927275363695,306.08119056536117,284.86924018839005,305.78939434582935,292.8881916188421,,297.6928551332475,,300.49706202632325,,,,,,305.28577534863666,303.95318528587603,,275.75698264732324,296.58143535736633
5848.0354764257345,299.05807166365014,298.4089803483038,303.1024435386175,285.98888623382214,,,300.93139713441803,305.34654650818936,299.80248929482525,,306.204389882836,261.6799196171693,300.8460740195914,290.7422812029843,,292.5644269199987,,300.170705452929,,,298.1159624995107,288.42721593167425,302.09224535002426,307.1609480280308,,303.8893288047745,,,,302.6608690207069
6373.431638634285,297.4226402721811,295.49441246274057,,,,,,,,305.3379968898158,,276.6086392160957,,,,284.8645343375613,,292.9077050591125,298.9482147807572,,,292.7927860586051,,301.3683657265664,271.6215747029827,299.07992399465746,299.1805244695166,302.50227615732626,277.69486576389943,295.35157498865533
6946.030169634236,,,,282.81040437437264,309.65513892073926,299.994255893754,306.72965820956836,,,307.65789802930016,307.18814528245855,275.19184457914264,306.4830843628022,276.06507547516327,,297.9480161781986,283.1748169709894,291.1142206319232,297.7395101466571,,305.8635284353689,,,299.5139659645708,,303.1998783247617,,291.86498129890316,287.665113016374,291.93987597036374
7570.07180009663,,,297.9351253591106,,,300.9605403625851,302.111601243325,305.97095541171063,298.1711534011145,,299.9647576084319,264.855759909485,,288.3790833696995,298.7844252680615,295.56973246475724,290.5957188730332,297.3737336939197,,300.0352841166922,306.90231723330476,291.03637457343484,,295.74925581995467,,301.1774908376651,,297.2124787710541,,304.66794156918803
8250.178254212187,,,,284.31603339549366,,303.1974628203733,292.6550694413453,,,298.60712794133224,,264.3117945534758,303.37345765436805,283.6174782480687,299.360324302516,,279.2220671360934,304.73947593010917,,298.7616372342188,306.0011662873697,,,292.5884826227802,289.60433193905465,303.38270625799913,302.20220475629384,296.7203186554963,,296.6303295744346
8991.386478713042,292.7696655694504,294.8056440539748,297.98061888312037,286.16018175094456,296.58890431994445,,298.58086852143356,,,,302.2911705093089,,,283.6131132375219,,,284.8403075935644,,,,302.12975658116443,,,298.12711374432047,281.9899549141319,295.6210407009497,298.6563951005447,296.3008385932099,281.2432877482836,300.8704913805025
