r,lnz_0,lnz_1,lnz_2,lnz_3,lnz_4,lnz_5,lnz_6,lnz_7,lnz_8,lnz_9,lnz_10,lnz_11,lnz_12,lnz_13,lnz_14,lnz_15,lnz_16,lnz_17,lnz_18,lnz_19,lnz_20,lnz_21,lnz_22,lnz_23,lnz_24,lnz_25,lnz_26,lnz_27,lnz_28,lnz_29,lnz_30,lnz_31,lnz_32,lnz_33,lnz_34,lnz_35,lnz_36,lnz_37,lnz_38,lnz_39,lnz_40,lnz_41,lnz_42,lnz_43,lnz_44,lnz_45,lnz_46,lnz_47,lnz_48,lnz_49,lnz_50,lnz_51,lnz_52,lnz_53,lnz_54,lnz_55,lnz_56,lnz_57,lnz_58,lnz_59,lnz_60,lnz_61,lnz_62,lnz_63,lnz_64,lnz_65,lnz_66,lnz_67,lnz_68,lnz_69,lnz_70,lnz_71,lnz_72,lnz_73,lnz_74,lnz_75,lnz_76,lnz_77,lnz_78,lnz_79,lnz_80,lnz_81,lnz_82,lnz_83,lnz_84,lnz_85,lnz_86,lnz_87,lnz_88,lnz_89,lnz_90,lnz_91,lnz_92,lnz_93,lnz_94,lnz_95,lnz_96,lnz_97,lnz_98,lnz_99
0.001,-125.53232629146827,-124.26414962734621,-125.64844040025183,-124.18443784530743,-124.82476231537674,-127.0700063406746,-125.15699052535888,-125.257047173963,-124.14788084947165,-124.41784948463689,-127.42653077853622,-124.67003721984116,-123.93073324615673,-124.45531242254832,-127.07595332195191,-124.5170801798674,-127.34902468330031,-124.040778579825,-123.81296053593121,-124.34559151899116,-124.98316541329507,-125.19156886436458,-124.10107691695077,-124.33696876388507,-124.46738513547437,-123.907245915218,-124.56468778828838,-124.70342216173388,-125.6447188014523,-123.69621906472986,-124.65118663762993,-125.6549222242003,-125.52093993577621,-125.08282921254502,-124.41100022678854,-124.5169970869375,-124.10092673797656,-125.35044277911477,-124.30203441217981,-124.81896414873795,-125.4640358691399,-124.34544044966195,-126.91241736829161,-124.92808316816414,-124.41348227515375,-123.93630411804871,-124.60804281438872,-124.8160092562782,-125.66337918337004,-124.60839647195073,-123.77269880075886,-123.74973523497499,-124.26096541333177,-123.75585148342054,-123.69187067904372,-129.11616570666303,-124.9535684694348,-124.61929342790222,-124.22888521767534,-123.77570353581409,-124.61140933934362,-124.07817774794668,-123.7575603842809,-124.12415935680126,-124.81929328923772,-124.16288102552687,-126.33317614335783,-125.93913063478257,-124.74629473734348,-123.94794106036034,-123.92716874415856,-128.01800960600823,-124.34849472409059,-125.93475783949364,-124.1288373692611,-125.97826823383663,-124.40905545637227,-125.10440481709422,-126.49987037849934,-124.48028491376425,-124.13008437000732,-124.1642144697041,-124.76439187641819,-124.01138419747521,-124.55343051930174,-125.28944560727723,-126.09493941618413,-124.30662882761565,-123.89180991630623,-124.14243757187201,-123.69226596861941,-123.73303251937706,-124.15790536163846,-127.0375401955947,-126.43230733830003,-124.11628892572583,-124.43528015774612,-124.66615046691899,-124.70247739847471,-124.35196539299017
0.0010150869666476737,-125.56227487133425,-124.29409820741981,-125.67838898047128,-124.21438642541096,-124.8547108956397,-127.09995492005984,-125.18693910551889,-125.2869957538974,-124.17782942962035,-124.44779806483233,-127.45647935805,-124.69998580012403,-123.96068182642756,-124.4852610025253,-127.10590190135042,-124.54702876012905,-127.37897326357556,-124.0707271599781,-123.84290911618197,-124.37554009901609,-125.01311399325115,-125.22151744405582,-124.13102549711644,-124.36691734405389,-124.49733371556391,-123.937194495493,-124.5946363683041,-124.7333707416606,-125.6746673809682,-123.7261676450149,-124.68113521768693,-125.68487080386433,-125.55088851532905,-125.11277779227167,-124.44094880688701,-124.54694566715698,-124.13087531825548,-125.38039135876988,-124.33198299246399,-124.84891272856618,-125.49398444899616,-124.37538902972484,-126.94236594755797,-124.95803174816598,-124.44343085536201,-123.96625269826136,-124.63799139447173,-124.8459578361115,-125.69332776299323,-124.63834505212995,-123.80264738101175,-123.7796838152558,-124.29091399353939,-123.7858000636799,-123.72181925932959,-129.14611428483454,-124.983517049623,-124.64924200806941,-124.25883379774135,-123.80565211607642,-124.64135791926174,-124.10812632809743,-123.78750896454113,-124.15410793704594,-124.8492418692133,-124.19282960570871,-126.36312472316567,-125.96907921414697,-124.7762433176265,-123.97788964063972,-123.95711732444194,-128.04795818470592,-124.37844330433818,-125.96470641897963,-124.15878594944898,-126.00821681383513,-124.4390040363824,-125.13435339715129,-126.52981895863243,-124.51023349402706,-124.1600329501212,-124.19416304981623,-124.79434045636822,-124.04133277775512,-124.5833790992883,-125.31939418727355,-126.12488799645479,-124.33657740782938,-123.9217584965113,-124.17238615215324,-123.72221454890516,-123.76298109965043,-124.18785394184331,-127.06748877562784,-126.46225591829871,-124.14623750594338,-124.46522873802856,-124.69609904686152,-124.73242597865837,-124.38191397327304
0.0010304015498579751,-125.592223451181,-124.32404678748046,-125.70833756068224,-124.24433500550245,-124.88465947589549,-127.12990349941123,-125.2168876856686,-125.31694433381462,-124.20777800975839,-124.47774664501853,-127.48642793753383,-124.72993438040031,-123.99063040669145,-124.51520958248639,-127.13585048071546,-124.57697734038348,-127.408921843844,-124.10067574012068,-123.87285769642519,-124.40548867902662,-125.04306257319071,-125.2514660237225,-124.16097407727194,-124.39686592421266,-124.527282295641,-123.9671430757612,-124.62458494830511,-124.76331932156992,-125.7046159604542,-123.75611622529341,-124.71108379773047,-125.71481938350296,-125.58083709485312,-125.14272637197483,-124.47089738697329,-124.57689424736796,-124.16082389852771,-125.41033993839932,-124.36193157274164,-124.87886130837398,-125.52393302883286,-124.40533760977446,-126.97231452678686,-124.98798032815269,-124.4733794355614,-123.99620127846529,-124.66793997454205,-124.87590641592453,-125.72327634258981,-124.66829363229945,-123.83259596125717,-123.80963239552997,-124.32086257373814,-123.81574864393198,-123.75176783960899,-129.1760628629353,-125.01346562980176,-124.67919058822649,-124.28878237779416,-123.83560069633154,-124.67130649916218,-124.13807490823757,-123.8174575447941,-124.18405651728288,-124.87919044917298,-124.22277818588091,-126.39307330295247,-125.99902779347687,-124.80619189790293,-124.00783822091242,-123.98706590471875,-128.0779067633488,-124.40839188457812,-125.99465499843484,-124.1887345296274,-126.0381653938184,-124.46895261637766,-125.16430197719492,-126.55976753875441,-124.5401820742827,-124.18998153022338,-124.22411162991658,-124.82428903630156,-124.07128135802837,-124.61332767925926,-125.34934276725458,-126.1548365767185,-124.36652598803443,-123.95170707670742,-124.20233473242784,-123.7521631291844,-123.79292967991695,-124.21780252203922,-127.0974373556468,-126.49220449828215,-124.17618608615237,-124.49517731830443,-124.72604762678714,-124.76237455883245,-124.41186255354933
0.0010459471836743925,-125.62217203100789,-124.35399536752779,-125.73828614088443,-124.27428358558157,-124.91460805614386,-127.15985207872771,-125.24683626580767,-125.34689291371416,-124.23772658988545,-124.50769522519519,-127.51637651698678,-124.75988296066981,-124.02057898694818,-124.54515816243114,-127.16579906004603,-124.60692592063046,-127.43887042410542,-124.13062432025242,-123.90280627666061,-124.43543725902228,-125.07301115311326,-125.28141460336387,-124.19092265741699,-124.42681450436109,-124.55723087570526,-123.99709165602238,-124.65453352829098,-124.79326790146129,-125.7345645399094,-123.78606480556522,-124.74103237776016,-125.74476796311544,-125.61078567434754,-125.17267495165379,-124.50084596704704,-124.60684282757018,-124.19077247879304,-125.44028851800232,-124.39188015301255,-124.90880988816079,-125.55388160864942,-124.43528618981043,-127.00226310597712,-125.01792890812382,-124.50332801575169,-124.02614985866026,-124.69788855459936,-124.90585499571671,-125.75322492215895,-124.69824221245894,-123.86254454149488,-123.8395809757973,-124.35081115392776,-123.84569722417655,-123.78171641988169,-129.20601144096315,-125.04341420997076,-124.70913916837318,-124.31873095783342,-123.86554927657926,-124.70125507904443,-124.16802348836681,-123.84740612503957,-124.21400509751184,-124.90913902911625,-124.25272676604318,-126.42302188271763,-126.02897637277123,-124.8361404781726,-124.03778680117824,-124.01701448498879,-128.10785534193525,-124.43834046481018,-126.02460357785829,-124.21868310979606,-126.068113973786,-124.4989011963576,-125.1942505572247,-126.58971611886493,-124.57013065453091,-124.21993011031348,-124.25406021000481,-124.8542376162177,-124.10122993829475,-124.64327625921416,-125.37929134721986,-126.18478515697504,-124.39647456823053,-123.98165565689433,-124.23228331269561,-123.78211170945696,-123.8228782601764,-124.2477511022259,-127.12738593565118,-126.52215307824993,-124.20613466635254,-124.52512589857349,-124.7559962066953,-124.79232313899664,-124.44181113381885
0.0010617273539497163,-125.65212061081436,-124.38394394756138,-125.76823472107759,-124.3042321656479,-124.94455663638463,-127.18980065800825,-125.27678484593581,-125.37684149359546,-124.26767517000121,-124.53764380536207,-127.54632509640794,-124.78983154093234,-124.05052756719755,-124.57510674235903,-127.19574763934105,-124.6368745008698,-127.46881900435962,-124.16057290037298,-123.93275485688804,-124.46538583900265,-125.10295973301828,-125.31136318297916,-124.2208712375513,-124.45676308449886,-124.58717945575629,-124.0270402362763,-124.68448210826125,-124.82321648133421,-125.76451311933288,-123.81601338583013,-124.77098095777558,-125.77471654270094,-125.64073425381143,-125.20262353130781,-124.53079454710783,-124.63679140776337,-124.22072105905126,-125.47023709757806,-124.42182873327653,-124.93875846792594,-125.58383018844523,-124.4652347698323,-127.0322116851276,-125.04787748807891,-124.53327659593259,-124.05609843884596,-124.72783713464322,-124.9358035754874,-125.7831735016998,-124.72819079260809,-123.89249312172463,-123.86952955605757,-124.38075973410797,-123.87564580441337,-123.81166500014751,-129.23596001891585,-125.07336279012974,-124.73908774850915,-124.3486795378587,-123.89549785681932,-124.73120365890792,-124.1979720684848,-123.87735470527734,-124.2439536777326,-124.93908760904262,-124.28267534619519,-126.45297046246047,-126.05892495202895,-124.86608905843529,-124.06773538143696,-124.04696306525189,-128.13780392046357,-124.46828904503414,-126.05455215724905,-124.24863168995466,-126.09806255373744,-124.52884977632175,-125.22419913724022,-126.61966469896362,-124.60007923477151,-124.24987869039116,-124.28400879008055,-124.88418619611612,-124.13117851855405,-124.67322483915252,-125.4092399271689,-126.21473373722421,-124.42642314841743,-124.01160423707175,-124.26223189295635,-123.81206028972264,-123.85282684042855,-124.2776996824031,-127.1573345156405,-126.55210165820155,-124.23608324654361,-124.55507447883556,-124.78594478658552,-124.82227171915063,-124.47175971408139
0.0010777455991276784,-125.68206919059978,-124.41389252758081,-125.79818330126146,-124.33418074570108,-124.97450521661753,-127.21974923725173,-125.30673342605266,-125.40679007345798,-124.2976237501053,-124.56759238551885,-127.57627367579632,-124.81978012118766,-124.08047614743931,-124.60505532226955,-127.22569621859948,-124.66682308110121,-127.49876758460637,-124.19052148048203,-123.96270343710718,-124.49533441896723,-125.13290831290523,-125.34131176256757,-124.2508198176745,-124.48671166462563,-124.6171280357937,-124.05698881652279,-124.71443068821544,-124.85316506118808,-125.79446169872364,-123.8459619660879,-124.8009295377763,-125.80466512225868,-125.67068283324383,-125.23257211093613,-124.5607431271553,-124.66673998794727,-124.25066963930215,-125.50018567712576,-124.45177731353334,-124.96870704766877,-125.61377876821966,-124.49518334983968,-127.06216026423706,-125.07782606801744,-124.5632251761038,-124.08604701902215,-124.75778571467325,-124.96575215523595,-125.81312208121153,-124.7581393727466,-123.9224417019462,-123.89947813631059,-124.41070831427848,-123.90559438464221,-123.84161358040625,-129.26590859679112,-125.10331137027836,-124.76903632863409,-124.37862811786957,-123.9254464370515,-124.76115223875208,-124.22792064859121,-123.90730328550715,-124.27390225794488,-124.96903618895158,-124.31262392633667,-126.48291904218031,-126.08887353124894,-124.89603763869079,-124.09768396168838,-124.07691164550779,-128.16775249893197,-124.49823762524971,-126.0845007366061,-124.27858027010294,-126.1280111336722,-124.55879835626963,-125.25414771724103,-126.64961327905014,-124.63002781500425,-124.27982727045601,-124.31395737014341,-124.91413477599627,-124.16112709880606,-124.70317341907383,-125.43918850710122,-126.24468231746577,-124.45637172859482,-124.04155281723939,-124.29218047320984,-123.84200886998121,-123.8827754206732,-124.3076482625705,-127.18728309561433,-126.58205023813652,-124.26603182672534,-124.58502305909043,-124.81589336645722,-124.85222029929415,-124.50170829433674
0.0010940055110363947,-125.71201777036347,-124.44384110758565,-125.82813188143572,-124.36412932574069,-125.00445379684234,-127.24969781645704,-125.33668200615789,-125.43673865330115,-124.3275723301974,-124.5975409656652,-127.60622225515093,-124.84972870143558,-124.11042472767326,-124.63500390216217,-127.2556447978202,-124.69677166132449,-127.52871616484543,-124.22047006057923,-123.99265201731782,-124.52528299891557,-125.16285689277358,-125.37126034212831,-124.28076839778626,-124.5166602447411,-124.64707661581707,-124.08693739676158,-124.74437926815307,-124.88311364102232,-125.82441027808069,-123.87591054633835,-124.83087811776186,-125.83461370178779,-125.7006314126438,-125.262520690538,-124.59069170718905,-124.69668856812156,-124.2806182195455,-125.53013425664452,-124.4817258937828,-124.99865562738862,-125.64372734797206,-124.5251319298321,-127.09210884330429,-125.10777464793895,-124.59317375626506,-124.11599559918852,-124.787734294689,-124.99570073496166,-125.84307066069323,-124.78808795287415,-123.95239028215931,-123.92942671655614,-124.440656894439,-123.93554296486283,-123.87156216065766,-129.29585717458664,-125.13325995041633,-124.79898490874763,-124.4085766978656,-123.95539501727556,-124.79110081857633,-124.25786922868566,-123.9372518657288,-124.30385083814846,-124.99898476884259,-124.34257250646725,-126.51286762187647,-126.11882211043002,-124.92598621893889,-124.12763254193226,-124.10686022575631,-128.19770107733862,-124.52818620545666,-126.11444931592844,-124.30852885024052,-126.15795971358983,-124.58874693620076,-125.28409629722668,-126.67956185912412,-124.65997639522888,-124.30977585050765,-124.34390595019302,-124.9440833558576,-124.19107567905057,-124.73312199897758,-125.46913708701632,-126.27463089769952,-124.48632030876243,-124.07150139739696,-124.32212905345585,-123.87195745023247,-123.9127240009101,-124.3375968427278,-127.2172316755722,-126.61199881805433,-124.2959804068974,-124.61497163933787,-124.84584194630983,-124.88216887942684,-124.53165687458467
0.0011105107356937718,-125.74196635010483,-124.47378968757548,-125.85808046160012,-124.39407790576634,-125.03440237705881,-127.27964639562302,-125.36663058625113,-125.46668723312436,-124.3575209102771,-124.62748954580084,-127.63617083447075,-124.87967728167585,-124.14037330789914,-124.66495248203634,-127.28559337700203,-124.72672024153938,-127.55866474507661,-124.25041864066421,-124.0226005975197,-124.55523157884716,-125.19280547262274,-125.4012089216605,-124.31071697788626,-124.5466088248449,-124.67702519582598,-124.11688597699248,-124.77432784807363,-124.91306222083637,-125.85435885740304,-123.90585912658122,-124.8608266977318,-125.86456228128742,-125.73057999201036,-125.29246927011258,-124.62064028720864,-124.72663714828599,-124.31056679978107,-125.56008283613346,-124.51167447402466,-125.02860420708475,-125.67367592770175,-124.55508050980912,-127.12205742232798,-125.13772322784288,-124.62312233641603,-124.14594417934477,-124.81768287469008,-125.02564931466387,-125.873019240144,-124.81803653299039,-123.98233886236375,-123.95937529679395,-124.47060547458922,-123.965491545075,-123.90151074090156,-129.32580575229997,-125.16320853054332,-124.82893348884946,-124.43852527784632,-123.98534359749127,-124.82104939838005,-124.28781780876783,-123.96720044594198,-124.33379941834303,-125.02893334871513,-124.37252108658663,-126.5428162015482,-126.14877068957104,-124.95593479917935,-124.15758112216837,-124.13680880599719,-128.22764965568166,-124.55813478565474,-126.144397895215,-124.33847743036712,-126.18790829348977,-124.61869551611463,-125.31404487719672,-126.70951043918517,-124.68992497544517,-124.3397244305457,-124.37385453022895,-124.97403193569954,-124.22102425928732,-124.76307057886322,-125.49908566691366,-126.30457947792519,-124.51626888891997,-124.10144997754412,-124.35207763369418,-123.9019060304762,-123.94267258113904,-124.36754542287471,-127.2471802555136,-126.64194739795448,-124.32592898705953,-124.64492021957764,-124.8757905261428,-124.9121174595484,-124.56160545482496
0.001127264974125066,-125.77191492982313,-124.5037382675498,-125.88802904175435,-124.42402648577759,-125.06435095726668,-127.30959497474846,-125.39657916633205,-125.49663581292702,-124.38746949034406,-124.65743812592542,-127.6661194137547,-124.90962586190825,-124.1703218881167,-124.69490106189153,-127.31554195614382,-124.75666882174563,-127.58861332529962,-124.28036722073658,-124.05254917771252,-124.58518015876149,-125.22275405245215,-125.43115750116331,-124.34066555797412,-124.57655740493666,-124.70697377581998,-124.1468345572152,-124.80427642797657,-124.94301080062957,-125.8843074366896,-123.9358077068163,-124.89077527768565,-125.89451086075664,-125.76052857134248,-125.32241784965903,-124.65058886721366,-124.75658572844024,-124.34051538000861,-125.5900314155917,-124.5416230542587,-125.05855278675648,-125.70362450740805,-124.58502908977025,-127.1520060013068,-125.16767180772872,-124.65307091655642,-124.17589275949058,-124.84763145467599,-125.05559789434184,-125.9029678195629,-124.847985113095,-124.01228744255921,-123.98932387702384,-124.50055405472882,-123.99544012527844,-123.93145932113768,-129.35575432992857,-125.19315711065899,-124.85888206893921,-124.46847385781129,-124.01529217769836,-124.85099797816264,-124.3177663888373,-123.99714902614649,-124.36374799852835,-125.0588819285686,-124.40246966669447,-126.57276478119479,-126.17871926867076,-124.98588337941194,-124.18752970239649,-124.16675738623023,-128.25759823395916,-124.58808336584366,-126.17434647446468,-124.3684260104824,-126.21785687337149,-124.64864409601068,-125.34399345715069,-126.7394590192329,-124.71987355565285,-124.36967301056971,-124.40380311025079,-125.0039805155215,-124.2509728395161,-124.7930191587302,-125.52903424679269,-126.33452805814254,-124.54621746906712,-124.1313985576806,-124.38202621392458,-123.93185461071215,-123.97262116135975,-124.39749400301092,-127.27712883543803,-126.67189597783641,-124.3558775672114,-124.67486879980954,-124.9057391059555,-124.94206603965847,-124.59155403505738
0.0011442719831927816,-125.8018635095177,-124.53368684750819,-125.91797762189807,-124.45397506577402,-125.0942995374657,-127.33954355383216,-125.42652774640024,-125.52658439270853,-124.41741807039787,-124.68738670603862,-127.69606799300172,-124.93957444213255,-124.20027046832571,-124.72484964172713,-127.34549053524434,-124.78661740194298,-127.61856190551426,-124.31031580079599,-124.08249775789604,-124.61512873865804,-125.25270263226119,-125.46110608063582,-124.37061413804948,-124.60650598501604,-124.73692235579863,-124.17678313742951,-124.83422500786142,-124.9729593804013,-125.9142560159393,-123.96575628704336,-124.92072385762293,-125.92445944019457,-125.79047715063912,-125.35236642917653,-124.68053744720363,-124.78653430858401,-124.37046396022791,-125.61997999501828,-124.57157163448467,-125.08850136640307,-125.73357308709025,-124.61497766971503,-127.18195458023942,-125.19762038759592,-124.6830194966859,-124.20584133962566,-124.87758003464631,-125.08554647399485,-125.93291639894895,-124.87793369318761,-124.04223602274544,-124.01927245724552,-124.53050263485751,-124.02538870547288,-123.9614079013658,-129.38570290746995,-125.223105690763,-124.88883064901651,-124.49842243776001,-124.04524075789656,-124.88094655792344,-124.34771496889371,-124.02709760634202,-124.39369657870414,-125.08883050840244,-124.43241824679042,-126.60271336081546,-126.20866784772795,-125.01583195963643,-124.21747828261637,-124.19670596645518,-128.28754681216913,-124.61803194602314,-126.20429505367639,-124.39837459058599,-126.24780545323445,-124.67859267588841,-125.37394203708807,-126.7694075992669,-124.74982213585169,-124.3996215905793,-124.43375169025813,-125.03392909532286,-124.28092141973666,-124.82296773857797,-125.55898282665287,-126.36447663835132,-124.57616604920356,-124.16134713780605,-124.4119747941468,-123.96180319094012,-124.002569741572,-124.4274425831361,-127.307077415345,-126.70184455769959,-124.3858261473527,-124.70481738003332,-124.93568768574734,-124.9720146197567,-124.62150261528168
